Month,Year,Temperature (degree centigrate),diurnal temp range (degree centigrate),Precipitation (mm/month),Pressure (Hpa),Previous GWL
3,1973,28.4,15,6.6,13.3,6.25
11,1973,22.1,13.3,1.5,15.3,3.28
3,1974,28.9,15,6.8,13.6,5.8
6,1974,32,10.8,182.4,24.4,9.17
11,1974,22.1,13.3,9,15.3,3.61
3,1975,27.9,15,23,13.1,7.52
6,1975,31.1,10.8,313.8,23,10.46
11,1975,21.4,13.3,1.9,14.7,2.96
3,1976,28.1,15,15.8,13.2,6.02
6,1976,31.6,10.8,117.8,23.7,9.74
11,1976,24.6,13.3,16,18.6,2.94
3,1977,29.1,15,10.8,14.1,6.29
6,1977,31.6,10.8,212.4,23.6,10.1
11,1977,24.5,13.3,34.3,18.3,3.15
3,1978,26.9,15,33,12.1,6.22
6,1978,31.5,10.8,200.6,23.7,9.85
11,1978,24.3,13.3,16.8,17.9,3.16
3,1979,27.2,15,4.4,12.3,6.08
6,1979,32.4,10.8,225.2,24.9,9.68
11,1979,25,13.3,11.1,19.2,3.67
6,1980,30.5,10.8,258.6,22.2,10.13
11,1980,23.7,13.3,1.6,17.1,2.56
3,1981,27.5,15,33,12.6,8.38
6,1981,32.3,10.8,210.6,24.9,10.12
11,1981,22.4,13.3,1.6,15.5,3.45
6,1982,31.8,10.8,178.2,24.1,9.93
11,1982,23.3,13.3,6.6,16.9,3.51
6,1983,33,10.8,184,25.7,10.35
11,1983,21.7,13.3,1.7,14.7,2.54
3,1984,28.1,15,5.3,13,5.23
6,1984,30.9,10.8,142.7,22.4,10.13
11,1984,22,13.3,1.4,15,3
3,1985,29.5,15,8.5,14.4,5.23
6,1985,31.6,10.8,225.1,24.2,10.82
8,1985,27.1,6.3,384.2,30.2,2.05
10,1985,25.4,10.5,82.9,22.3,1.96
11,1985,22.6,13.3,2.3,15.7,2.26
2,1986,23.2,14.5,28.5,13.8,6.61
5,1986,34.6,14.1,21.9,17.3,7.6
6,1986,31.2,10.8,202.9,23.3,9.42
10,1986,26.9,10.5,22.3,24.1,2.55
11,1986,23.7,13.3,13.5,17.2,2.6
1,1987,20.4,14.3,7.8,13,5.2
2,1987,23.1,14.5,8.2,13.9,7.55
3,1987,27.4,15,22.7,12.5,5.87
5,1987,33.6,14.1,29.2,16.1,10.02
6,1987,33.2,10.8,148.1,25.8,8.47
10,1987,26.7,10.5,40.4,24,2.48
11,1987,23.5,13.3,16.1,16.9,3.09
2,1988,24.2,14.5,6.4,14.9,6.69
3,1988,28.5,15,14.6,13.4,4.35
5,1988,36,14.1,24.1,18.9,9.42
10,1988,26.1,10.5,31.1,23,3.48
11,1988,22.6,13.3,7.2,15.8,4.21
2,1989,23.2,14.5,4.7,13.6,7.07
3,1989,26.9,15,51.7,12.3,7.79
5,1989,35.4,14.1,24.8,18.1,9.91
6,1989,30.9,10.8,185.7,22.6,9.57
10,1989,26.7,10.5,20.3,23.8,3.24
11,1989,23.5,13.3,2.8,16.8,3.31
3,1990,27.2,15,41.7,12.3,6.44
5,1990,33.5,14.1,72.6,16.7,6.91
6,1990,30.3,10.8,256.2,22.5,7.45
10,1990,26.1,10.5,81.2,23.1,2.23
11,1990,23.7,13.3,5.6,17.3,2.43
3,1991,28.6,15,18.3,13.8,7.17
4,1991,32,15,14.3,14.4,6.29
5,1991,35.3,14.1,23.2,18.2,8.87
6,1991,30.8,10.8,178.1,23.2,9.29
9,1991,28.1,7.5,145.5,30.5,5.83
10,1991,26.8,10.5,25.4,24,3.39
11,1991,23.2,13.3,13.6,15.9,2.94
2,1992,22.5,14.5,5.2,13.1,6.99
3,1992,28.8,15,6.6,14,6.94
5,1992,34.6,14.1,21.3,17.3,10.14
6,1992,32.3,10.8,152.6,24.5,9.4
10,1992,26.7,10.5,28.8,24.1,3.05
11,1992,23.5,13.3,7.3,17.1,3.12
2,1993,23.4,14.5,10.6,14.5,6.49
3,1993,27.2,15,43.8,12.3,6.09
5,1993,35.1,14.1,33.4,17.9,9.65
6,1993,32.9,10.8,179.7,25.8,7.1
8,1993,27.5,6.3,281.3,30.3,0.99
11,1993,23.1,13.3,3.3,16.4,3.22
12,1993,19.5,14.3,2.1,13,4.961219538
