,Dates,Current Level
188,Aug-09,2.034580322
189,Sep-09,4.513507708487952
190,Oct-09,4.513507708487952
191,Nov-09,3.552682114
192,Dec-09,5.558806698
193,Jan-10,5.553743276
194,Feb-10,4.513507708487952
195,Mar-10,4.513507708487952
196,Apr-10,4.513507708487952
197,May-10,6.099961123
198,Jun-10,8.02544487
199,Jul-10,4.513507708487952
200,Aug-10,2.20640255
201,Sep-10,4.513507708487952
202,Oct-10,4.513507708487952
203,Nov-10,2.991113095
204,Dec-10,4.513507708487952
205,Jan-11,4.149821619
206,Feb-11,4.513507708487952
207,Mar-11,4.513507708487952
208,Apr-11,4.513507708487952
209,May-11,7.358447806
210,Jun-11,4.513507708487952
211,Jul-11,4.513507708487952
212,Aug-11,1.379280016
213,Sep-11,4.513507708487952
214,Oct-11,4.513507708487952
215,Nov-11,3.858040254
216,Dec-11,4.513507708487952
217,Jan-12,3.937996116
218,Feb-12,4.513507708487952
219,Mar-12,4.513507708487952
220,Apr-12,4.513507708487952
221,May-12,6.825621823
222,Jun-12,7.228865557
223,Jul-12,0.0
224,Aug-12,2.550175588
225,Sep-12,2.881577789
226,Oct-12,2.987415723
227,Nov-12,3.048699499
228,Dec-12,5.18730324
229,Jan-13,4.320617376
230,Feb-13,4.513507708487952
231,Mar-13,4.513507708487952
232,Apr-13,4.513507708487952
233,May-13,5.464453354
234,Jun-13,6.53794106
235,Jul-13,4.513507708487952
236,Aug-13,0.772674201
237,Sep-13,1.460593536
238,Oct-13,2.08801542
239,Nov-13,3.837208511
240,Dec-13,4.889526431
241,Jan-14,4.154291563
242,Feb-14,4.513507708487952
243,Mar-14,4.513507708487952
244,Apr-14,4.513507708487952
245,May-14,7.366914072
246,Jun-14,4.513507708487952
247,Jul-14,4.513507708487952
248,Aug-14,2.08246089
249,Sep-14,4.513507708487952
250,Oct-14,1.768433309
251,Nov-14,3.594040764
252,Dec-14,4.291843948
253,Jan-15,2.822963275
254,Feb-15,4.513507708487952
255,Mar-15,4.513507708487952
256,Apr-15,4.513507708487952
257,May-15,7.090030194
258,Jun-15,4.513507708487952
259,Jul-15,8.302513582
260,Aug-15,1.562307235
261,Sep-15,4.513507708487952
262,Oct-15,2.741947858
263,Nov-15,2.909604904
264,Dec-15,4.290953256
265,Jan-16,6.420215271
266,Feb-16,6.119695643
267,Mar-16,4.513507708487952
268,Apr-16,4.513507708487952
269,May-16,7.474214317
270,Jun-16,4.513507708487952
271,Jul-16,4.513507708487952
272,Aug-16,3.06522052
273,Sep-16,4.513507708487952
274,Oct-16,3.350703401
275,Nov-16,2.802975391
276,Dec-16,4.399303379
277,Jan-17,5.157345919
278,Feb-17,4.513507708487952
279,Mar-17,4.513507708487952
280,Apr-17,4.513507708487952
281,May-17,7.766016302
282,Jun-17,4.513507708487952
283,Jul-17,4.513507708487952
284,Aug-17,2.312717366
285,Sep-17,4.513507708487952
286,Oct-17,4.513507708487952
287,Nov-17,3.771232778
288,Dec-17,4.488173663
289,Jan-18,5.238687042
