,1
134,0.08974987345240314
135,0.2238280997612128
136,0.2428840384238596
137,0.39988841190817054
138,0.6419008254785721
139,0.6077436949867856
140,0.7616986010582771
141,0.2605713453649947
142,0.2930193957116035
143,0.23076450329047843
144,0.4122035119724902
145,0.49836280256333726
146,0.7948648822284617
147,0.17504166266933102
148,0.3408168620581899
149,0.4223045290262919
150,0.5076080534348026
151,0.7144485433001256
152,0.47913655029508545
153,0.13019006368480515
154,0.3449334454899157
155,0.3807900433127999
156,0.36878979106892135
157,0.45459230833071096
158,0.6845505648148571
159,0.3115569011886343
160,0.2548902721510816
161,0.12319273690752736
162,0.2594709856605956
163,0.2380514514544546
164,0.2797205648659816
