epochs,Mean Absolute Error (MAE),Mean Squared Error (MSE),Root Mean Squared Error (RMSE),R-squared (R^2) Score,Cosine Similarity
10,0.9671242436462294,1.376405018194834,1.1732028887600108,0.6880437272697495,0.9749160091746447
50,0.734546679121736,0.8533551766435623,0.9237722536662174,0.8367336590567014,0.9857727913227591
100,0.7140403291257382,0.8064412099390769,0.8980207179898896,0.8472355733200911,0.9866321596786097
150,0.706527589895028,0.7853118307556433,0.8861782161369367,0.8512381186479812,0.987046263714025
200,0.7193671889369049,0.8038044494723026,0.8965514204284675,0.847735055732491,0.9868313908033522
250,0.7054729674353513,0.7663189526124957,0.8753964545350271,0.8539813348127592,0.9873349855203312
300,0.7368240097437682,0.8582024252352617,0.9263921552103416,0.8367737412282013,0.9858065833607923
350,0.733074954099658,0.8272741440164683,0.9095461197852851,0.8432891836872579,0.9865709804014637
400,0.7296385227295636,0.8222346672561882,0.9067715628846045,0.8442438134464552,0.9863651138225618
450,0.7286420885657301,0.8400035928106535,0.9165170990279742,0.8402350776720704,0.985980143180347
500,0.705689698491794,0.7839286335123641,0.8853974438139993,0.8515001381619278,0.9869832271732372
550,0.7088544450182784,0.789948000900252,0.8887901894712003,0.8503598873951597,0.9868995733273148
600,0.7232081315835799,0.8067005122910873,0.8981650807569215,0.8471864535892869,0.9867033436557924
650,0.7119986475416669,0.7795964233052278,0.8829475767593611,0.8523207901826746,0.9870423213604422
700,0.7135836548063084,0.7935678087046164,0.8908242299716687,0.8496741859985669,0.9868025507237407
750,0.7366289066956041,0.8425770568952301,0.9179199621400714,0.8397456163255893,0.9860180125130834
800,0.7278448297385586,0.8405770105662835,0.9168298700229414,0.8401260161823652,0.9860194103742429
850,0.7320110701092576,0.8409032305532079,0.9170077592655408,0.839116000819473,0.9860412484270659
900,0.7055659097795591,0.7812269406172577,0.883870432030203,0.8520119207458279,0.9869196513993505
950,0.7309846085510008,0.8447005208441566,0.9190759059208095,0.8393417429900822,0.985829225157458
1000,0.7187564339893788,0.8054573198149865,0.8974727404300291,0.8474219519536111,0.9867440150108693
