Dates,Current Level
Dec-93,4.961219538
Jan-94,6.067698973
Feb-94,6.067698973
Mar-94,6.067698973
Apr-94,8.582625225
May-94,7.185564529
Jun-94,8.623408485
Jul-94,0.971962926
Aug-94,2.897955167
Sep-94,5.8080766563749995
Oct-94,2.922320937
Nov-94,2.077940396
Dec-94,5.206631930943182
Jan-95,5.206631930943182
Feb-95,5.206631930943183
Mar-95,5.206631930943183
Apr-95,5.206631930943184
May-95,5.206631930943182
Jun-95,5.206631930943182
Jul-95,5.206631930943183
Aug-95,5.206631930943183
Sep-95,5.206631930943184
Oct-95,5.206631930943184
Nov-95,5.206631930943184
Dec-95,5.206631930943184
Jan-96,4.482953272
Feb-96,5.1776847845854554
Mar-96,5.177684784585456
Apr-96,5.177684784585456
May-96,7.393985418
Jun-96,5.254108944358372
Jul-96,5.254108944358372
Aug-96,2.227138053
Sep-96,5.159516104003422
Oct-96,5.159516104003422
Nov-96,3.804671348
Dec-96,5.910507074
Jan-97,3.894123925
Feb-97,5.108995942786928
Mar-97,5.108995942786928
Apr-97,5.108995942786928
May-97,8.582043333
Jun-97,8.091754103
Jul-97,1.135437477
Aug-97,1.108034604
Sep-97,2.59024265
Oct-97,3.155565931
Nov-97,2.676031512
Dec-97,4.66511756
Jan-98,4.459318835
Feb-98,4.035720536
Mar-98,4.8971820850495416
Apr-98,4.8971820850495416
May-98,6.987003206
Jun-98,8.08673714
Jul-98,1.940617656
Aug-98,3.67470253
Sep-98,2.155835825
Oct-98,3.515996844
Nov-98,2.571086556
Dec-98,3.860825345
Jan-99,4.399963876
Feb-99,4.78436454755043
Mar-99,4.78436454755043
Apr-99,4.784364547550429
May-99,6.545095999
Jun-99,8.065757224
Jul-99,2.471444514
Aug-99,1.970499432
Sep-99,2.227138754
Oct-99,3.501974621
Nov-99,3.039222009
Dec-99,4.460549618
Jan-00,5.919249855
Feb-00,4.71781182286613
Mar-00,4.71781182286613
Apr-00,4.717811822866129
May-00,6.680534774
Jun-00,5.932912518
Jul-00,4.758553151664434
Aug-00,1.870366781
Sep-00,4.72245082203113
Oct-00,4.897739769
Nov-00,2.834880193
Dec-00,7.141786824
Jan-01,5.980182568
Feb-01,4.745565952217899
Mar-01,4.745565952217899
Apr-01,4.745565952217899
May-01,9.186999127
Jun-01,8.020978636
Jul-01,4.8313086839797235
Aug-01,1.112357509
Sep-01,4.790885301642987
Oct-01,4.245957423
Nov-01,4.598763228
Dec-01,5.784605458
Jan-02,6.350546115
Feb-02,4.8096103636783285
Mar-02,4.8096103636783285
Apr-02,8.110394985
May-02,8.840942881
Jun-02,7.19231734
Jul-02,4.904853737354455
Aug-02,2.66378295
Sep-02,4.88330497978374
Oct-02,3.657591949
Nov-02,4.80801521
Dec-02,4.746880126
Jan-03,4.763073863
Feb-03,4.869014532342135
Mar-03,4.869014532342135
Apr-03,4.869014532342135
May-03,6.501389195
Jun-03,4.8834603258169835
Jul-03,4.883460325816983
Aug-03,2.029524427
Sep-03,3.30375116
Oct-03,3.426583038
Nov-03,3.72609478
Dec-03,4.700692232
Jan-04,4.961434066
Feb-04,4.824347249354984
Mar-04,4.824347249354984
Apr-04,4.824347249354985
May-04,6.720006301
Jun-04,5.399587631
Jul-04,4.8439575623176045
Aug-04,2.339075339
Sep-04,4.824388169947936
Oct-04,3.466501513
Nov-04,4.024236263
Dec-04,5.002544981
Jan-05,6.036273179
Feb-05,4.818613758340477
Mar-05,4.818613758340477
Apr-05,4.818613758340477
May-05,7.139434777
Jun-05,8.637504828
Jul-05,4.863104425647138
Aug-05,1.580529222
Sep-05,4.8396574599068005
Oct-05,4.839657459906801
Nov-05,2.988552656
Dec-05,4.826712671068292
Jan-06,5.310556187
Feb-06,4.8300495229023035
Mar-06,4.8300495229023035
Apr-06,4.830049522902303
May-06,8.612413426
Jun-06,4.855434515540543
Jul-06,4.855434515540543
Aug-06,1.727605087
Sep-06,4.834856690352777
Oct-06,4.834856690352776
Nov-06,3.505095704
Dec-06,4.826277587215016
Jan-07,5.904391463
Feb-07,4.833144554576704
Mar-07,4.8331445545767036
Apr-07,4.8331445545767036
May-07,9.570826261
Jun-07,4.862571149026539
Jul-07,4.862571149026539
Aug-07,1.870061022
Sep-07,4.844324136056865
Oct-07,4.844324136056865
Nov-07,3.053749851
Dec-07,4.833602134349938
Jan-08,5.653603633
Feb-08,4.838454214223606
Mar-08,4.838454214223606
Apr-08,4.8384542142236056
May-08,7.50849845
Jun-08,4.853887995933295
Jul-08,4.853887995933295
Aug-08,2.177192377
Sep-08,4.838679498098448
Oct-08,4.838679498098448
Nov-08,3.92987129
Dec-08,4.833602357271082
Jan-09,5.54352731
Feb-09,4.837524594578977
Mar-09,4.837524594578976
Apr-09,4.837524594578976
May-09,8.418584772
Jun-09,4.85688167661909
Jul-09,4.856881676619091
Aug-09,2.034580322
Sep-09,4.841869435371116
Oct-09,4.841869435371116
Nov-09,3.552682114
Dec-09,5.558806698
Jan-10,5.553743276
Feb-10,4.842592874655503
Mar-10,4.842592874655503
Apr-10,4.842592874655503
May-10,6.099961123
Jun-10,8.02544487
Jul-10,4.86501822942161
Aug-10,2.20640255
Sep-10,4.851725151024501
Oct-10,4.851725151024501
Nov-10,2.991113095
Dec-10,4.842559574393839
Jan-11,4.149821619
Feb-11,4.839180364855332
Mar-11,4.839180364855332
Apr-11,4.839180364855332
May-11,7.358447806
Jun-11,4.8512342760569815
Jul-11,4.8512342760569815
Aug-11,1.379280016
Sep-11,4.834857133320864
Oct-11,4.834857133320864
Nov-11,3.858040254
